epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,875.275,1.3438,2.68842,2.10838,1.13933,0,0.50166,0.34549,0.33611,0.22932,0.53439,0.31806,0.32098,0.20581,1.28133,2.93979,1.78697,1.18973,0,0.000333223,0.000333223,0.0670109
2,1730.74,1.31903,2.55811,1.88058,1.13018,0,0.45259,0.422,0.36571,0.26875,0.44837,0.41228,0.3545,0.26169,1.22291,2.31425,1.60516,1.15253,0,0.000659347,0.000659347,0.0340037
3,2546.59,1.28011,2.47174,1.73441,1.11483,0,0.51602,0.43566,0.42648,0.31648,0.51134,0.42688,0.41399,0.30676,1.14485,2.13828,1.43631,1.11284,0,0.0009571,0.0009571,0.000968101
4,3377.33,1.24421,2.36605,1.61132,1.09623,0,0.58965,0.47133,0.45513,0.34233,0.58939,0.45533,0.44181,0.32596,1.11161,2.04397,1.33668,1.093,0,0.000905463,0.000905463,0.000905463
5,4210.56,1.19978,2.2771,1.51156,1.0752,0,0.6344,0.47237,0.48641,0.37292,0.63871,0.45962,0.46934,0.34993,1.08012,1.98757,1.2568,1.0754,0,0.00083622,0.00083622,0.00083622
6,4833.52,1.197,2.23247,1.47642,1.09581,0,0.60967,0.49178,0.50655,0.38963,0.61187,0.4768,0.49147,0.36284,1.07706,1.94903,1.17448,1.07199,0,0.0007525,0.0007525,0.0007525
7,5453.18,1.16015,2.15584,1.3786,1.07748,0,0.59929,0.51529,0.53367,0.41166,0.59517,0.50271,0.51566,0.37749,1.05213,1.91048,1.13543,1.05523,0,0.000657963,0.000657963,0.000657963
8,6089.35,1.12809,2.10178,1.29669,1.06048,0,0.65715,0.54568,0.55862,0.43241,0.65131,0.53231,0.54049,0.39443,1.02795,1.85951,1.06207,1.04374,0,0.000556742,0.000556742,0.000556742
9,6738.92,1.10467,2.03808,1.23095,1.04717,0,0.66117,0.55284,0.57363,0.45038,0.65733,0.53745,0.55551,0.40986,1.00844,1.81946,1.03632,1.02776,0,0.000453258,0.000453258,0.000453258
10,7382.4,1.08755,2.00247,1.17899,1.0362,0,0.66176,0.5872,0.60365,0.47329,0.66098,0.56275,0.57764,0.42222,0.98416,1.76907,0.97633,1.01487,0,0.000352037,0.000352037,0.000352037
11,8024.07,1.05768,1.94786,1.10348,1.02588,0,0.68028,0.58745,0.6095,0.48285,0.68313,0.57011,0.58968,0.43284,0.97259,1.73922,0.95139,1.01043,0,0.0002575,0.0002575,0.0002575
12,8679.88,1.03807,1.90146,1.05454,1.01308,0,0.69095,0.6134,0.62993,0.49636,0.6902,0.59561,0.60808,0.44381,0.9575,1.70644,0.92669,1.003,0,0.00017378,0.00017378,0.00017378
13,9310.98,1.01865,1.86028,1.01819,1.00348,0,0.70447,0.61478,0.64129,0.50666,0.6959,0.5975,0.61775,0.44994,0.94547,1.68583,0.90267,0.99718,0,0.000104537,0.000104537,0.000104537
14,9930.35,1.00695,1.84079,0.9831,0.99938,0,0.7227,0.6197,0.649,0.5146,0.71521,0.60156,0.62531,0.45657,0.93567,1.66806,0.88725,0.99087,0,5.2795e-05,5.2795e-05,5.2795e-05
15,10550.1,0.99942,1.8137,0.96103,0.9969,0,0.73315,0.62053,0.6521,0.51669,0.7254,0.60317,0.62769,0.4578,0.93327,1.66295,0.88235,0.98985,0,2.08169e-05,2.08169e-05,2.08169e-05
