produce_type,temperature_c,humidity_pct,storage_area,packaging_material,freshness_pct,remaining_shelf_life_days
Apple,16.9,62.5,pantry,unpackaged,59.4,0.45
Apple,19.1,54.8,pantry,perforated_bag,76.5,1.06
Apple,24.3,58.5,counter,perforated_bag,67.4,0.49
Apple,5.3,87.8,fridge,plastic_wrap,85.9,20.99
Apple,23.4,39.9,counter,sealed_container,77.0,0.54
Apple,4.6,98.7,fridge,unpackaged,94.8,17.64
Apple,4.9,93.6,fridge,plastic_wrap,77.4,17.82
Apple,22.2,60.4,pantry,unpackaged,88.2,0.71
Apple,4.3,92.4,fridge,perforated_bag,66.0,18.38
Apple,21.9,40.4,pantry,unpackaged,86.6,0.64
Apple,3.6,95.5,fridge,plastic_wrap,77.2,16.16
Apple,20.5,60.9,pantry,perforated_bag,80.1,0.98
Apple,3.3,92.3,fridge,plastic_wrap,89.0,24.41
Apple,4.7,88.7,fridge,plastic_wrap,83.2,22.35
Apple,21.9,51.9,pantry,plastic_wrap,64.2,0.46
Apple,2.2,90.4,fridge,sealed_container,63.8,17.07
Apple,4.7,91.3,fridge,unpackaged,70.8,16.1
Apple,1.8,81.4,fridge,plastic_wrap,94.4,30.16
Apple,18.9,68.0,pantry,plastic_wrap,84.7,1.08
Apple,2.6,86.3,fridge,sealed_container,76.7,16.21
Apple,4.4,85.0,fridge,plastic_wrap,85.9,21.96
Apple,4.0,96.0,fridge,sealed_container,82.8,16.76
Apple,4.3,94.8,fridge,unpackaged,62.8,15.07
Apple,3.0,83.4,fridge,plastic_wrap,80.8,18.36
Apple,3.7,80.6,fridge,plastic_wrap,86.6,23.25
Apple,8.4,90.1,fridge,plastic_wrap,80.5,11.52
Apple,2.8,85.9,fridge,sealed_container,51.9,9.86
Apple,23.4,32.6,counter,plastic_wrap,60.5,0.34
Apple,4.4,96.8,fridge,sealed_container,60.4,9.65
Apple,2.6,84.4,fridge,sealed_container,73.6,16.91
Apple,20.4,56.2,counter,perforated_bag,78.7,0.86
Apple,25.8,39.5,counter,plastic_wrap,75.9,0.37
Apple,30.3,46.9,counter,unpackaged,78.8,0.33
Apple,18.8,66.1,pantry,sealed_container,59.4,0.58
Apple,2.2,81.2,fridge,unpackaged,88.2,21.21
Apple,6.2,82.5,fridge,unpackaged,71.1,12.95
Apple,24.0,43.0,counter,sealed_container,67.5,0.39
Apple,13.8,54.5,pantry,unpackaged,84.1,1.13
Apple,3.5,92.6,fridge,unpackaged,62.0,12.7
Apple,5.5,90.7,fridge,perforated_bag,93.9,27.71
Apple,23.1,47.9,counter,unpackaged,60.3,0.33
Apple,7.8,97.4,fridge,perforated_bag,92.6,17.96
Apple,3.1,89.6,fridge,perforated_bag,88.1,29.5
Apple,3.8,82.7,fridge,unpackaged,89.6,27.19
Apple,2.7,87.5,fridge,sealed_container,76.6,28.86
Apple,2.4,97.2,fridge,sealed_container,60.2,10.14
Apple,4.5,96.6,fridge,plastic_wrap,62.8,14.48
Apple,3.4,87.3,fridge,plastic_wrap,60.9,14.66
Apple,4.3,85.2,fridge,plastic_wrap,83.7,23.76
Apple,4.1,88.0,fridge,perforated_bag,88.9,31.29
Apple,8.2,98.5,fridge,perforated_bag,75.3,11.32
Apple,4.4,82.4,fridge,perforated_bag,88.3,24.86
Apple,17.0,56.1,counter,sealed_container,95.9,1.14
Apple,20.2,52.1,pantry,sealed_container,62.2,0.45
Apple,6.2,75.2,fridge,sealed_container,82.5,8.9
Apple,1.4,89.6,fridge,plastic_wrap,67.6,18.08
Apple,3.5,87.7,fridge,unpackaged,70.6,21.28
Apple,30.9,59.1,counter,perforated_bag,79.3,0.42
Apple,22.5,52.0,pantry,sealed_container,70.2,0.55
Apple,5.2,87.0,fridge,perforated_bag,81.8,26.47
Apple,22.2,39.3,pantry,perforated_bag,94.2,0.85
Apple,5.0,84.5,fridge,unpackaged,93.3,21.46
Apple,3.0,89.6,fridge,unpackaged,80.5,16.39
Apple,4.1,90.1,fridge,perforated_bag,77.9,17.65
Apple,26.4,26.0,counter,perforated_bag,83.0,0.61
Apple,22.4,65.7,pantry,unpackaged,90.8,0.72
Apple,2.7,87.3,fridge,plastic_wrap,63.0,20.16
Apple,3.8,95.4,fridge,unpackaged,79.9,17.03
Apple,22.5,55.1,pantry,perforated_bag,84.7,0.89
Apple,7.5,87.0,fridge,sealed_container,61.4,11.56
Apple,20.3,68.1,pantry,perforated_bag,70.5,0.7
Apple,4.7,90.6,fridge,sealed_container,86.6,17.7
Apple,24.2,39.3,counter,sealed_container,60.3,0.3
Apple,4.3,90.7,fridge,sealed_container,68.0,15.46
Apple,22.5,51.1,pantry,plastic_wrap,53.9,0.28
Apple,1.0,81.5,fridge,perforated_bag,67.9,14.5
Apple,5.1,86.6,fridge,unpackaged,84.2,23.62
Apple,2.8,94.8,fridge,sealed_container,82.2,20.03
